_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
sqlite3OsShmLock                             .text       0000000000437D6C 00000060 00000008 00000010 R . . . . . .
sqlite3OsShmBarrier                          .text       0000000000437DCC 0000004C 00000008 00000004 R . . . . . .
sqlite3OsShmUnmap                            .text       0000000000437E18 00000050 00000008 00000008 R . . . . . .
sqlite3OsShmMap                              .text       0000000000437E68 00000068 00000018 00000014 R . . . . . .
sqlite3OsFetch                               .text       0000000000437ED0 00000068 00000018 00000018 R . . . . . .
sqlite3OsUnfetch                             .text       0000000000437F38 00000060 00000018 00000014 R . . . . . .
sqlite3OsOpen                                .text       0000000000437F98 0000007C 00000020 00000014 R . . . . . .
sqlite3OsDelete                              .text       0000000000438014 00000054 00000008 0000000C R . . . . . .
sqlite3OsAccess                              .text       0000000000438068 0000005C 00000008 00000010 R . . . . . .
sqlite3OsFullPathname                        .text       00000000004380C4 00000064 00000008 00000010 R . . . . . .
sqlite3OsDlOpen                              .text       0000000000438128 0000004C 00000008 00000008 R . . . . . .
sqlite3OsDlError                             .text       0000000000438174 00000058 00000008 0000000C R . . . . . .
sqlite3OsDlSym                               .text       00000000004381CC 00000054 00000008 0000000C R . . . . . .
sqlite3OsDlClose                             .text       0000000000438220 00000050 00000008 00000008 R . . . . . .
sqlite3OsRandomness                          .text       0000000000438270 00000054 00000008 0000000C R . . . . . .
sqlite3OsSleep                               .text       00000000004382C4 0000004C 00000008 00000008 R . . . . . .
sqlite3OsGetLastError                        .text       0000000000438310 00000068 00000008 00000004 R . . . . . .
sqlite3OsCurrentTimeInt64                    .text       0000000000438378 0000011C 00000030 00000000 R . . . . . .
sqlite3OsOpenMalloc                          .text       0000000000438494 000000D0 00000020 00000014 R . . . . . .
sqlite3OsCloseFree                           .text       0000000000438564 00000048 00000008 00000004 R . . . . . .
sqlite3OsInit                                .text       00000000004385AC 00000064 0000000C 00000000 R . . . . . .
sqlite3_vfs_find                             .text       0000000000438610 00000118 00000020 00000004 R . . . . . .
vfsUnlink                                    .text       0000000000438728 000000D8 0000000C 00000004 R . . . . . .
sqlite3_vfs_register                         .text       0000000000438800 000000F0 00000010 00000008 R . . . . . .
sqlite3_vfs_unregister                       .text       00000000004388F0 00000088 00000010 00000004 R . . . . . .
